Month,Short-term Visitors arriving - Under 1 week,Short-term Visitors arriving - Over 1 and under 2 weeks,Short-term Visitors arriving - Over 2 weeks and under 1 month,Short-term Visitors arriving - Over 1 and under 2 months,Short-term Visitors arriving - Over 2 and under 3 months,Short-term Visitors arriving - Over 3 and under 6 months,Short-term Visitors arriving - Over 6 and under 12 months,Short-term Visitors arriving - Total,Short-term Visitors arriving - Convention/conference,Short-term Visitors arriving - Business,Short-term Visitors arriving - Visiting friends/relatives,Short-term Visitors arriving - Holiday,Short-term Visitors arriving - Employment,Short-term Visitors arriving - Education,Short-term Visitors arriving - Other & not stated,Short-term Visitors arriving - Total
Aug-06,142470,109050,89140,26380,8780,18230,16140,410200,19900,49360,78240,216420,13570,17110,15600,410200
Sep-06,139650,117100,81180,30660,12380,21950,20530,423460,20070,46520,91620,218430,14440,14730,17650,423460
Oct-06,162730,122900,92030,36390,15640,22360,20870,472930,20790,53610,96990,251380,15240,16440,18480,472930
Nov-06,174220,121730,94730,37080,18000,26240,18000,489990,15660,58930,102250,265940,14900,12980,19320,489990
Dec-06,155160,134560,202140,86310,22600,24320,15800,640870,8920,34530,192590,360600,17950,11420,14860,640870
Jan-07,132970,94280,89580,46170,20340,30620,37060,451030,10210,43580,89810,229310,16260,40490,21370,451030
Feb-07,157290,117660,98560,45640,14470,33370,43170,510170,11870,51610,98070,260980,14710,54750,18170,510170
Mar-07,174360,122680,116850,44100,15320,21990,24720,520020,24300,60480,116920,252540,14710,24640,26420,520020
Apr-07,146460,119130,89120,29300,13530,18620,18790,434940,15130,47960,101680,220540,14020,18020,17590,434940
May-07,146560,94790,59410,23050,10340,15210,15370,364730,14930,53500,77660,174820,13680,12630,17510,364730
Jun-07,135110,102610,75950,34840,15440,18580,15440,397960,15800,48240,86170,195360,13790,20320,18290,397960
Jul-07,132180,110400,111340,51260,14800,32670,30150,482790,21760,49960,91460,226720,13820,57910,21160,482790
Aug-07,154070,113380,91590,28590,9400,19840,17890,434750,17830,52970,88060,225540,15530,18160,16660,434750
Sep-07,140550,117560,86990,32980,12870,21540,21620,434110,21930,50500,99760,213200,14620,15700,18390,434110
Oct-07,162490,116690,93720,39100,15100,21700,20050,468840,19930,57530,99180,239960,14680,16880,20680,468840
Nov-07,184340,121970,90450,38760,18700,25700,19300,499210,21490,57150,113910,256040,17290,13440,19900,499210
Dec-07,154790,129650,183500,85850,21510,24360,15160,614830,7940,35600,195860,330010,17530,11730,16170,614830
Jan-08,129860,88500,89750,46650,19290,30010,36580,440630,9850,42270,89620,218680,18450,41070,20690,440630
Feb-08,172950,124150,100740,49660,15630,35160,48120,546410,17140,59610,105780,263350,18200,61420,20920,546410
Mar-08,169830,123010,114120,42910,13950,24060,25830,513720,16570,57040,128140,249830,16260,26940,18930,513720
Apr-08,149700,110530,80750,32560,13050,18710,19010,424310,14690,60040,103650,195880,15670,15970,18420,424310
May-08,148820,100060,63110,24820,10680,16760,15780,380020,16070,52910,86300,181720,13440,11770,17810,380020
Jun-08,126270,90660,75240,36140,16800,19840,17500,382460,13890,47910,90270,177860,15770,17510,19250,382460
Jul-08,130390,129380,138020,52740,14280,34730,30920,530450,39090,51890,90310,220680,15830,58030,54620,530450
Aug-08,141650,104120,90350,27980,9830,23590,21230,418750,17790,50660,91950,203000,15250,21150,18950,418750
Sep-08,124310,101390,81580,33180,12850,22450,24250,400010,17060,48080,100930,186240,16670,14000,17030,400010
Oct-08,145400,107430,98930,38690,16180,24350,24770,455740,18090,54720,105030,222970,15950,18260,20730,455740
Nov-08,158750,112650,90650,39910,19000,27620,21770,470350,15060,54320,115950,236290,16070,12970,19690,470350
Dec-08,132560,135660,191800,86590,22240,25590,17360,611800,8970,31150,206550,318910,17800,11900,16530,611800
Jan-09,110310,113260,88820,46740,19110,31490,42150,451880,7020,34080,99750,227960,19990,41330,21760,451880
